PROVINCIA;ROBADOS_2025;RECUPERADOS_2025
Buenos Aires      ;35613;457
CABA            ;5671;421
Catamarca       ;27;0
Chaco            ;59;0
Chubut           ;121;13
Cordoba          ;4504;144
Corrientes          ;134;0
Entre Rios          ;148;51
Formosa           ;30;0
Jujuy;44;0
La Pampa             ;26;0
La Rioja;25;0
Mendoza         ;2422;69
Misiones      ;47;0
Neuquen          ;277;18
Rio Negro          ;183;18
Salta         ;61;0
San Juan      ;30;0
San Luis            ;76;0
Santa Cruz     ;45;0
Santa Fe;3110;44
Santiago del Estero          ;41;0
Tierra del Fuego             ;26;0
Tucuman        ;88;0
